5898780724@7.4312087/43.7478240,43.747824,7.4312087
25243186@7.4312406/43.7477740,43.747774,7.4312406
25243185@7.4313477/43.7475379,43.7475379,7.4313477
1871563598@7.4313584/43.7475035,43.7475035,7.4313584
5898780721@7.4313675/43.7474585,43.7474585,7.4313675
21921482@7.4313676/43.7474219,43.7474219,7.4313676
5898780722@7.4313564/43.7473661,43.7473661,7.4313564
25243184@7.4313370/43.7473126,43.7473126,7.431337
5898780719@7.4311891/43.7470637,43.7470637,7.4311891
21932570@7.4311584/43.7470345,43.7470345,7.4311584
5898780718@7.4311171/43.7470086,43.7470086,7.4311171
25243183@7.4310735/43.7470012,43.7470012,7.4310735
5898780717@7.4310222/43.7470051,43.7470051,7.4310222
25238528@7.4309766/43.7470216,43.7470216,7.4309766
21921471@7.4309429/43.7470475,43.7470475,7.4309429
5898780716@7.4309248/43.7470792,43.7470792,7.4309248
5898780715@7.4309195/43.7471135,43.7471135,7.4309195
25238530@7.4309229/43.7471532,43.7471532,7.4309229
25243200@7.4309887/43.7472819,43.7472819,7.4309887
1871563580@7.4310725/43.7474358,43.7474358,7.4310725
1871563582@7.4310800/43.7474713,43.7474713,7.43108
1871563610@7.4310741/43.7475220,43.747522,7.4310741
1871563613@7.4310481/43.7475752,43.7475752,7.4310481
1871563617@7.4310178/43.7476142,43.7476142,7.4310178
1871563619@7.4309594/43.7476533,43.7476533,7.4309594
1871563622@7.4308659/43.7476797,43.7476797,7.4308659
11157427289@7.4308033/43.7476880,43.747688,7.4308033
21921299@7.4307478/43.7476953,43.7476953,7.4307478
21918402@7.4285224/43.7435476,43.7435476,7.4285224
4938970031@7.4284337/43.7435506,43.7435506,7.4284337
25243367@7.4283043/43.7435426,43.7435426,7.4283043
10723812915@7.4282274/43.7435207,43.7435207,7.4282274
25243368@7.4281517/43.7434939,43.7434939,7.4281517
10723812914@7.4280779/43.7434543,43.7434543,7.4280779
25243369@7.4280190/43.7434159,43.7434159,7.428019
10723812916@7.4279653/43.7433629,43.7433629,7.4279653
25243370@7.4279208/43.7433050,43.743305,7.4279208
2189614162@7.4277553/43.7429651,43.7429651,7.4277553
25243371@7.4277383/43.7429274,43.7429274,7.4277383
12438880863@7.4276282/43.7426989,43.7426989,7.4276282
25243372@7.4276228/43.7426878,43.7426878,7.4276228
9532495604@7.4276275/43.7426430,43.742643,7.4276275
9532495605@7.4276637/43.7425800,43.74258,7.4276637
25243373@7.4276637/43.7425264,43.7425264,7.4276637
25243374@7.4276329/43.7424746,43.7424746,7.4276329
25243374@7.4276329/43.7424746,43.7424746,7.4276329
25243375@7.4276011/43.7424396,43.7424396,7.4276011
9532495606@7.4275639/43.7424095,43.7424095,7.4275639
1079751360@7.4275190/43.7423951,43.7423951,7.427519
10723812917@7.4274603/43.7423936,43.7423936,7.4274603
25243376@7.4274124/43.7423838,43.7423838,7.4274124
12560730594@7.4273614/43.7423601,43.7423601,7.4273614
25243377@7.4273484/43.7423541,43.7423541,7.4273484
764646114@7.4270830/43.7421642,43.7421642,7.427083
1880126683@7.4269537/43.7420698,43.7420698,7.4269537
967714534@7.4268924/43.7420234,43.7420234,7.4268924
